date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251119,0,SO2,4,1,5,3,5,3,4,6,5,3,1,3,6,2,3,5,4,4,5,3,2,3,4,6,2,3,5,3,2,3,2,1,2,2,4
20251119,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,0,NO2,62,51,67,85,62,54,56,31,76,38,58,80,7,10,7,23,20,53,34,48,45,8,9,31,16,28,29,56,53,68,49,4,4,78,27
20251119,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,0,O3,3,2,3,2,2,4,1,3,1,19,3,2,50,56,51,28,22,1,19,2,5,51,47,28,34,31,32,3,3,2,10,57,56,3,23
20251119,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,0,CO,0.7,0.6,0.5,0.8,0.4,0.7,0.9,0.4,0.5,0.4,0.4,0.4,0.2,0.7,0.4,0.6,0.4,0.4,0.5,0.8,0.5,0.4,0.3,0.3,0.9,0.2,0.2,0.6,0.6,0.6,0.4,0.1,0.2,0.9,0.3
20251119,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,1,SO2,4,1,10,3,5,4,4,6,5,3,1,3,6,3,1,6,5,4,5,3,2,3,4,5,2,2,5,3,3,3,1,1,2,3,5
20251119,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,1,NO2,65,54,66,81,66,57,62,34,75,40,59,77,11,11,6,24,20,47,29,47,19,7,7,33,21,34,36,52,52,67,50,6,6,98,20
20251119,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,1,O3,2,2,2,2,1,3,1,2,1,16,2,1,44,54,47,28,26,3,20,1,26,53,52,20,25,25,24,1,3,2,10,55,54,2,28
20251119,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,1,CO,1.1,0.6,0.6,0.8,0.5,0.7,1,0.5,0.6,0.4,0.4,0.4,0.2,0.7,0.4,0.6,0.4,0.5,0.5,0.7,0.4,0.4,0.3,0.3,0.8,0.2,0.2,0.6,0.7,0.5,0.3,0.2,0.2,1,0.3
20251119,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,2,SO2,4,1,4,3,6,4,4,6,5,3,1,1,7,3,1,5,5,4,4,2,2,3,4,6,3,2,5,2,3,1,3,1,2,3,5
20251119,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,2,NO2,63,50,65,81,70,58,58,37,63,39,57,85,14,11,7,23,22,35,19,44,9,6,7,24,24,48,36,55,59,66,46,5,17,104,8
20251119,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,2,O3,2,1,2,1,1,3,1,2,1,16,2,2,42,53,47,26,24,11,27,2,29,55,51,30,19,15,24,2,3,2,12,57,43,2,43
20251119,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,2,CO,0.9,0.6,0.5,0.8,0.3,0.7,0.9,0.4,0.6,0.4,0.4,0.5,0.2,0.7,0.4,0.5,0.4,0.4,0.5,0.6,0.3,0.4,0.3,0.3,0.8,0.2,0.2,0.6,0.7,0.5,0.3,0.2,0.2,0.9,0.2
20251119,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,3,SO2,4,1,4,3,6,4,4,6,4,2,1,1,8,3,2,7,5,4,5,2,2,3,4,6,1,2,5,2,3,1,3,1,2,3,4
20251119,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,3,NO2,59,51,58,79,62,43,59,35,58,37,56,89,14,11,9,24,25,40,21,42,11,6,6,25,36,46,49,51,51,65,56,11,16,104,9
20251119,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,3,O3,2,1,5,1,2,14,1,2,1,16,2,2,42,51,44,25,16,6,31,1,25,54,51,28,11,13,11,2,2,2,7,50,45,2,41
20251119,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,3,CO,0.7,0.6,0.3,0.8,0.3,0.4,0.8,0.4,0.6,0.4,0.4,0.4,0.2,0.7,0.4,0.6,0.4,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.9,0.2,0.2,0.5,0.7,0.4,0.3,0.2,0.2,0.8,0.2
20251119,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,4,SO2,4,1,5,3,6,5,4,6,5,3,1,2,8,4,3,8,5,4,5,2,2,3,4,6,1,2,5,1,3,1,3,1,2,3,4
20251119,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,4,NO2,48,49,34,73,56,24,51,32,57,31,52,92,15,13,10,25,24,40,10,40,9,8,12,32,27,41,49,50,52,63,59,52,22,101,3
20251119,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,4,O3,11,2,21,1,6,31,1,2,1,20,2,2,36,48,41,23,16,5,40,1,25,51,41,21,17,16,9,2,3,1,1,8,34,2,49
20251119,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251119,4,CO,0.5,0.5,0.3,0.8,0.3,0.3,0.7,0.4,0.5,0.4,0.4,0.4,0.3,0.8,0.5,0.7,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.9,0.2,0.2,0.7,0.7,0.5,0.3,0.3,0.3,0.8,0.2
20251119,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
