date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251111,0,SO2,4,3,4,3,4,4,4,3,3,3,1,1,4,1,1,2,2,4,3,1,2,2,3,5,1,1,5,1,2,1,1,3,3,1,3
20251111,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,0,NO2,72,57,70,77,72,67,61,39,53,56,76,50,31,35,19,38,36,20,20,43,19,33,28,58,52,70,80,68,45,64,62,45,37,74,17
20251111,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,0,O3,3,2,2,2,1,3,1,2,1,1,1,12,20,7,18,6,2,23,23,1,29,16,4,2,3,2,3,1,3,2,2,1,2,2,21
20251111,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,0,CO,1.2,0.9,0.8,0.9,0.6,1,0.9,0.5,0.7,0.5,0.7,0.5,0.3,0.9,0.3,0.7,0.6,0.7,0.5,0.5,0.3,0.7,0.6,0.6,1,0.9,0.7,0.8,0.6,1,0.7,0.4,0.4,0.6,0.4
20251111,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,1,SO2,4,1,21,3,4,4,4,3,3,3,1,1,4,1,1,2,2,4,3,2,2,2,3,4,1,1,5,1,2,2,1,1,3,1,3
20251111,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,1,NO2,67,54,66,74,69,65,57,36,49,53,73,50,35,33,18,38,35,22,20,43,20,38,27,50,43,62,69,60,51,56,54,42,34,71,14
20251111,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251111,1,O3,2,2,2,1,1,2,1,2,1,1,1,2,16,6,19,4,2,18,20,1,29,8,3,5,7,2,3,2,1,2,1,1,2,2,19
20251111,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
