date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251230,0,SO2,2,2,4,3,4,4,3,3,3,3,1,1,4,1,1,2,3,5,4,2,3,3,1,4,3,1,5,3,2,3,3,3,2,1,4
20251230,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,0,NO2,52,57,61,80,83,47,68,48,78,46,27,51,18,33,5,25,35,15,7,54,6,15,19,39,44,75,85,69,65,73,64,26,21,66,34
20251230,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,0,O3,12,7,8,2,2,12,2,2,1,15,27,4,35,12,42,24,12,36,47,2,52,34,18,19,22,1,2,2,2,2,2,26,28,2,16
20251230,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,0,CO,0.7,0.7,0.6,0.6,0.8,0.6,0.7,0.5,0.8,0.6,0.2,0.5,0.4,0.5,0.2,0.6,0.7,0.5,0.4,0.5,0.3,0.5,0.7,0.4,0.4,0.8,0.8,0.6,0.9,0.7,0.8,0.3,0.4,0.5,0.5
20251230,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,1,SO2,3,2,4,3,5,4,3,3,3,3,1,2,4,1,1,2,3,6,3,2,2,3,3,4,3,1,6,3,2,1,3,3,2,1,3
20251230,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,1,NO2,64,61,63,73,85,58,66,45,72,39,34,55,13,36,6,36,42,19,9,47,38,16,17,37,40,72,82,67,59,72,62,21,17,66,31
20251230,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,1,O3,4,3,3,5,1,3,1,2,1,20,20,2,39,15,40,9,3,31,41,7,20,30,15,19,26,2,2,2,2,2,1,30,33,2,18
20251230,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,1,CO,1.1,0.8,0.6,0.7,0.8,0.7,0.7,0.5,0.8,0.6,0.2,0.4,0.4,0.5,0.2,0.6,0.7,0.5,0.4,0.4,0.3,0.5,0.7,0.4,0.4,0.6,0.8,0.6,0.9,0.7,0.8,0.3,0.4,0.5,0.5
20251230,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,2,SO2,2,2,4,2,4,4,3,4,4,3,1,2,5,1,1,2,3,5,3,1,2,3,3,4,3,2,5,3,2,1,3,3,3,1,4
20251230,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,2,NO2,56,64,65,65,75,58,69,51,65,26,12,39,14,37,9,37,34,9,8,49,31,15,15,41,31,70,69,65,63,74,69,35,39,70,28
20251230,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,2,O3,7,2,1,8,2,2,1,2,1,36,45,14,39,13,34,4,3,39,41,4,25,27,16,14,32,1,2,2,1,2,1,20,10,2,19
20251230,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,2,CO,0.9,0.8,0.5,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.1,0.4,0.4,0.5,0.2,0.7,0.8,0.5,0.4,0.4,0.3,0.4,0.6,0.4,0.3,0.6,0.6,0.6,0.9,0.6,0.8,0.3,0.4,0.5,0.5
20251230,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,3,SO2,2,2,4,2,4,4,3,4,4,3,2,2,5,1,2,2,3,5,3,2,3,3,3,4,3,2,5,3,3,1,3,3,3,1,4
20251230,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,3,NO2,26,61,57,57,74,45,67,17,65,11,9,12,28,35,10,27,31,5,6,47,52,16,15,43,27,70,71,65,73,75,66,26,38,73,21
20251230,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,3,O3,35,2,7,8,1,9,3,36,3,58,49,48,26,15,33,13,6,42,42,4,3,21,19,12,38,1,1,2,1,2,1,27,8,2,27
20251230,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,3,CO,0.6,0.8,0.4,0.5,0.6,0.4,0.6,0.3,0.5,0.4,0.1,0.3,0.4,0.5,0.3,0.7,1,0.5,0.4,0.4,0.4,0.5,0.6,0.4,0.3,0.5,0.5,0.6,0.9,0.6,0.7,0.3,0.4,0.5,0.4
20251230,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,4,SO2,2,2,3,2,4,4,4,4,3,3,2,2,5,1,2,1,3,5,3,2,3,3,3,4,3,1,4,1,2,1,1,2,2,2,4
20251230,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,4,NO2,33,55,46,40,69,42,35,2,67,12,6,35,11,33,8,28,32,6,5,47,39,15,16,37,22,60,60,68,66,69,70,9,28,76,16
20251230,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,4,O3,27,3,15,29,1,10,32,55,2,57,53,23,44,22,43,10,3,40,42,3,14,18,27,19,41,3,3,2,1,2,1,55,21,2,39
20251230,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,4,CO,0.6,0.7,0.4,0.4,0.5,0.4,0.6,0.2,0.5,0.4,0.1,0.5,0.4,0.5,0.2,0.7,1.1,0.5,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.3,0.4,0.6,0.8,0.5,0.8,0.2,0.4,0.5,0.3
20251230,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,5,SO2,3,3,4,3,4,4,4,5,3,3,1,2,4,1,2,1,3,6,3,2,2,2,3,4,3,2,4,1,2,1,1,1,3,2,4
20251230,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,5,NO2,34,53,27,22,69,38,32,2,63,11,4,18,12,26,8,33,32,10,6,40,8,22,12,31,25,60,50,72,62,64,73,7,16,78,14
20251230,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,5,O3,29,13,39,43,1,14,35,55,4,58,55,41,45,61,51,7,5,37,40,12,47,15,34,24,40,2,8,2,1,2,1,56,41,2,40
20251230,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,5,CO,0.5,0.6,0.3,0.4,0.5,0.4,0.5,0.2,0.5,0.3,0.1,0.4,0.3,0.5,0.2,0.7,1.1,0.5,0.4,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.6,0.6,0.4,0.7,0.2,0.4,0.4,0.3
20251230,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,6,SO2,2,3,5,3,4,4,4,4,4,4,1,3,4,2,1,2,3,5,4,2,2,3,1,4,3,1,4,1,2,3,3,2,4,2,5
20251230,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,6,NO2,22,24,22,15,56,15,24,8,21,7,6,1,11,22,5,38,38,7,5,19,9,21,11,26,19,61,55,71,60,62,64,8,6,79,7
20251230,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,6,O3,41,44,44,52,16,45,42,44,46,61,52,59,49,57,57,7,3,38,42,39,43,20,38,32,48,2,5,2,4,2,1,55,56,3,56
20251230,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,6,CO,0.4,0.5,0.3,0.3,0.5,0.3,0.4,0.2,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.7,1.1,0.5,0.4,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.4,0.6,0.6,0.4,0.7,0.2,0.3,0.4,0.2
20251230,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,7,SO2,1,2,3,2,3,4,3,4,3,4,1,2,4,1,1,1,3,5,3,2,2,2,1,4,3,3,4,3,2,3,3,2,4,2,5
20251230,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,7,NO2,16,16,25,22,23,14,23,23,24,7,3,9,4,17,2,37,40,21,7,18,5,17,6,19,17,41,34,37,27,35,63,8,3,27,5
20251230,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,7,O3,45,49,37,44,48,46,40,29,39,60,54,48,58,69,61,3,4,36,50,42,51,34,50,41,51,21,25,24,36,26,1,55,60,43,59
20251230,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,7,CO,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.1,0.7,0.8,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.4,0.5,0.4,0.5,0.2,0.3,0.2,0.2
20251230,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,8,SO2,1,2,3,1,3,3,2,4,3,4,1,1,4,2,1,1,3,5,4,2,3,2,1,4,3,3,3,3,2,3,3,1,3,2,5
20251230,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,8,NO2,12,10,16,13,13,9,20,11,24,7,1,23,2,15,2,36,38,1,2,11,4,28,6,10,11,29,21,23,13,22,54,7,2,12,4
20251230,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,8,O3,51,57,49,53,60,55,43,40,38,61,56,31,61,67,63,3,11,67,70,55,57,31,53,58,65,34,41,36,51,42,8,57,62,58,60
20251230,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,8,CO,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.1,0.8,0.7,0.4,0.3,0.3,0.3,0.5,0.4,0.3,0.3,0.2,0.1,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.2
20251230,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,9,SO2,1,2,3,2,4,3,3,4,3,3,1,1,4,1,2,2,3,6,3,3,3,3,1,4,3,1,3,3,1,3,3,1,3,2,4
20251230,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,9,NO2,9,12,13,12,13,8,23,9,21,6,1,14,3,16,2,26,41,2,2,9,3,12,3,5,3,37,26,18,12,11,37,6,2,11,3
20251230,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,9,O3,56,57,52,55,61,57,41,43,41,63,57,41,60,66,62,31,9,66,69,61,59,54,56,68,81,32,41,43,56,57,24,62,63,61,63
20251230,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,9,CO,0.4,0.5,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.1,0.6,0.9,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.1
20251230,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,10,SO2,1,2,4,2,4,4,3,4,3,2,1,1,5,1,2,3,,6,4,2,3,3,1,4,3,3,3,3,2,1,3,1,3,1,3
20251230,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,10,NO2,8,11,14,10,14,4,16,5,15,5,9,5,5,16,5,12,17,1,2,7,2,6,3,3,2,19,18,16,9,7,18,5,1,10,3
20251230,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,10,O3,56,58,52,59,59,64,48,48,,65,50,53,58,66,58,50,44,65,69,63,60,61,58,71,82,52,52,46,60,62,47,63,65,65,65
20251230,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,10,CO,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,,0.3,0.1,0.4,0.3,0.4,0.2,0.5,,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.1
20251230,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,11,SO2,2,3,4,2,4,4,3,4,,3,3,1,5,1,4,3,4,6,4,3,3,4,1,4,3,3,3,3,2,1,3,1,3,1,3
20251230,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,11,NO2,8,10,11,9,12,5,14,2,12,4,2,3,4,17,8,7,,3,3,9,1,4,3,4,4,11,9,12,9,7,11,5,2,7,2
20251230,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,11,O3,58,,54,60,61,62,,52,45,66,57,58,59,65,54,59,55,,68,62,63,65,59,69,76,58,61,52,61,62,57,63,66,67,65
20251230,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,11,CO,0.4,0.5,0.3,0.4,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.3,0.5,0.3,0.2,0.2,0.3,0.2,0.1
20251230,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,12,SO2,2,,4,2,5,4,3,4,4,2,1,1,5,1,3,4,4,,4,2,3,3,1,,3,3,3,3,2,1,3,1,3,1,3
20251230,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251230,12,NO2,6,8,8,7,10,5,,2,8,4,2,2,4,17,7,7,8,2,2,,1,4,2,5,3,9,6,7,8,6,9,5,2,5,3
20251230,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
