date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251204,0,SO2,5,1,3,3,4,7,2,3,3,1,1,2,4,3,3,1,3,5,3,1,2,2,4,4,3,2,5,1,6,5,2,3,1,3,2
20251204,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,0,NO2,60,59,58,73,73,52,66,50,71,54,48,63,22,22,6,22,34,11,12,52,21,24,21,54,50,72,69,70,57,63,71,27,45,75,39
20251204,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,0,O3,7,5,12,2,3,11,1,2,1,10,10,2,28,25,23,28,11,36,37,4,18,30,22,5,4,2,2,2,3,4,1,16,3,2,9
20251204,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,0,CO,0.5,0.5,0.6,0.8,0.7,0.6,0.7,0.7,0.6,0.3,0.4,0.3,0.4,1,0.2,0.4,0.5,0.4,0.3,0.5,0.5,0.5,0.8,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.6,0.4,0.7
20251204,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,1,SO2,4,1,3,4,4,5,2,3,3,1,3,1,4,3,3,1,3,5,3,3,2,3,6,5,3,4,5,1,5,4,4,3,1,3,3
20251204,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,1,NO2,64,60,70,72,76,56,65,54,66,63,43,58,23,21,6,33,39,10,13,47,23,27,21,47,50,71,69,64,56,70,71,21,30,78,30
20251204,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,1,O3,2,3,2,1,2,6,1,2,1,3,9,2,26,21,23,14,5,35,35,1,16,23,19,6,2,2,2,2,2,2,1,20,16,2,17
20251204,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,1,CO,1.1,0.5,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.3,0.3,0.3,0.4,0.9,0.2,0.5,0.5,0.4,0.3,0.5,0.6,0.5,0.9,0.4,0.7,0.5,0.6,0.4,0.5,0.6,0.5,0.4,0.6,0.4,0.7
20251204,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,2,SO2,4,1,2,3,4,3,,3,3,1,3,2,4,3,3,1,3,5,3,3,2,2,7,4,3,3,6,1,5,3,5,3,1,3,2
20251204,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,2,NO2,67,60,68,72,71,63,,46,60,53,46,62,21,22,6,36,34,10,13,43,25,27,14,48,49,70,71,64,58,71,66,18,35,82,27
20251204,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,2,O3,2,3,2,2,2,1,,2,2,5,5,2,27,15,23,12,8,34,33,1,15,19,17,4,2,1,2,2,1,2,1,22,10,2,17
20251204,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,2,CO,0.8,0.6,0.5,0.9,0.6,0.8,,0.7,0.5,0.3,0.4,0.4,0.4,0.9,0.2,0.5,0.5,0.4,0.3,0.5,0.6,0.6,0.9,0.4,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.3,0.6,0.4,0.7
20251204,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,3,SO2,4,3,2,2,4,3,3,3,3,3,1,2,4,3,3,1,3,5,2,1,2,2,7,4,3,2,7,1,5,3,3,3,1,1,2
20251204,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,3,NO2,66,59,71,70,68,62,63,42,60,47,59,62,15,22,6,5,17,12,14,46,22,27,13,51,53,67,70,62,58,74,64,18,34,82,23
20251204,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,3,O3,1,3,2,2,2,1,1,2,2,5,4,2,32,21,24,63,25,32,31,1,13,18,12,1,2,1,1,2,2,2,1,23,10,2,21
20251204,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,3,CO,0.9,0.6,0.6,0.7,0.6,0.8,0.6,0.6,0.6,0.3,0.4,0.4,0.4,0.9,0.2,0.2,0.3,0.4,0.3,0.4,0.6,0.6,1,0.4,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.2,0.6,0.4,0.7
20251204,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,4,SO2,4,3,3,2,4,4,3,3,3,1,1,2,4,3,3,3,3,5,3,1,2,3,7,5,3,2,5,1,4,2,3,3,1,3,2
20251204,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,4,NO2,63,60,71,69,68,61,62,44,61,50,59,63,23,20,5,1,3,12,13,45,19,24,12,52,54,70,66,63,52,73,62,32,38,75,18
20251204,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,4,O3,1,3,2,2,2,1,1,2,2,3,3,2,25,16,21,67,60,31,31,1,15,15,15,1,2,1,2,2,1,2,1,4,4,2,24
20251204,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,4,CO,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.6,0.3,0.4,0.4,0.4,0.9,0.2,0.2,0.1,0.4,0.3,0.4,0.6,0.6,1,0.4,0.7,0.6,0.6,0.5,0.6,0.7,0.7,0.3,0.7,0.4,0.7
20251204,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,5,SO2,5,1,3,2,5,4,2,1,3,1,2,2,4,3,3,1,3,5,3,3,2,2,7,4,3,6,8,1,4,,2,3,1,3,2
20251204,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,5,NO2,61,59,67,66,67,59,61,46,61,45,60,63,39,20,4,1,2,26,22,44,24,21,12,49,48,70,68,67,60,,60,43,35,66,19
20251204,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,5,O3,2,3,3,2,2,1,1,2,2,15,4,2,9,12,25,67,62,18,24,1,11,18,18,1,2,1,1,2,1,,1,2,5,2,23
20251204,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,5,CO,0.7,0.7,0.6,0.8,0.6,0.7,0.6,0.7,0.6,0.3,0.5,0.4,0.5,0.9,0.2,0.2,0.1,0.5,0.4,0.5,0.6,0.6,0.9,0.3,0.7,0.6,0.6,0.5,0.6,,0.7,0.3,0.7,0.3,0.7
20251204,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,6,SO2,3,1,3,2,5,4,2,3,3,1,2,2,4,3,3,1,3,5,3,3,2,2,8,4,3,2,10,1,4,1,2,3,1,3,4
20251204,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,6,NO2,38,57,46,50,67,57,60,37,63,13,50,45,21,22,3,1,2,27,15,44,27,31,13,43,51,62,62,39,50,56,61,41,26,60,14
20251204,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,6,O3,24,3,22,16,2,1,3,15,2,50,12,14,33,9,34,67,62,24,36,1,12,15,19,5,1,1,2,19,10,12,1,11,23,7,35
20251204,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,6,CO,0.6,0.7,0.4,0.6,0.6,0.7,0.6,0.6,0.7,0.2,0.4,0.3,0.4,0.9,0.2,0.2,0.1,0.4,0.3,0.5,0.6,0.6,0.9,0.3,0.7,0.5,0.5,0.3,0.5,0.5,0.7,0.3,0.6,0.2,0.7
20251204,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,7,SO2,3,1,2,1,4,4,3,3,3,1,2,1,4,3,3,1,3,5,3,1,2,3,8,4,3,3,6,1,4,1,1,3,1,3,3
20251204,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,7,NO2,30,46,32,28,50,57,60,9,48,4,15,9,7,24,2,3,4,37,5,44,27,38,15,40,38,59,57,23,31,60,69,7,5,27,6
20251204,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,7,O3,35,16,36,37,18,2,6,49,16,65,48,55,57,49,35,63,59,21,59,1,16,9,17,10,11,2,2,35,29,7,2,59,62,40,57
20251204,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,7,CO,0.4,0.5,0.4,0.5,0.5,0.8,0.6,0.5,0.5,0.1,0.2,0.2,0.4,0.9,0.2,0.2,0.1,0.5,0.3,0.6,0.6,0.7,0.9,0.3,0.6,0.4,0.4,0.2,0.3,0.5,0.6,0.2,0.5,0.1,0.5
20251204,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,8,SO2,3,1,,1,3,3,3,3,3,3,3,2,4,3,3,1,3,6,3,1,3,3,9,4,3,2,7,1,4,1,1,3,1,3,3
20251204,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,8,NO2,29,56,,16,39,26,57,7,18,3,9,14,7,18,2,6,4,46,4,45,35,21,13,39,34,56,56,27,23,23,68,7,4,8,4
20251204,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,8,O3,38,12,,51,32,34,11,50,45,65,53,48,56,62,39,61,57,15,66,6,18,36,39,19,19,4,7,33,39,44,1,58,62,62,62
20251204,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,8,CO,0.4,0.5,,0.5,0.4,0.5,0.6,0.5,0.3,0.1,0.2,0.2,0.4,0.8,0.2,0.2,0.2,0.6,0.3,0.7,0.6,0.5,0.8,0.3,0.6,0.5,0.4,0.2,0.3,0.3,0.7,0.2,0.5,0.1,0.5
20251204,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,9,SO2,3,1,2,1,4,3,2,3,3,3,3,1,4,3,3,1,3,5,3,3,2,3,8,4,3,1,4,1,3,1,2,3,1,3,2
20251204,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,9,NO2,16,20,18,14,20,9,21,5,15,8,14,12,8,16,2,8,7,13,4,15,5,13,8,27,26,46,36,16,14,16,56,6,3,8,2
20251204,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,9,O3,51,50,47,53,50,53,44,52,48,59,48,50,57,55,29,59,55,54,63,46,58,51,52,31,27,22,28,44,49,51,11,60,63,63,63
20251204,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,9,CO,0.3,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.3,0.1,0.2,0.2,0.4,0.8,0.2,0.3,0.2,0.4,0.3,0.4,0.4,0.4,0.7,0.3,0.6,0.3,0.3,0.2,0.2,0.3,0.5,0.2,0.5,0.1,0.5
20251204,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,10,SO2,2,1,1,1,4,3,2,3,2,3,2,2,5,3,3,1,3,5,3,3,2,3,8,4,3,3,3,1,4,1,1,3,1,3,2
20251204,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,10,NO2,8,11,7,7,11,4,10,2,10,4,7,8,6,14,2,5,5,11,4,4,1,7,3,5,4,21,15,10,8,11,23,6,3,7,
20251204,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,10,O3,60,62,56,60,60,61,53,54,51,62,51,53,59,62,32,61,57,56,60,60,64,63,64,57,58,45,51,49,57,58,39,58,61,61,
20251204,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,10,CO,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.1,0.2,0.2,0.4,0.8,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.4,0.7,0.1,0.4,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.5,0.1,
20251204,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,11,SO2,3,1,2,,3,3,2,3,3,3,3,1,5,3,3,1,3,5,3,3,2,2,7,4,3,3,3,1,3,1,3,3,2,3,
20251204,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,11,NO2,6,8,4,3,9,1,9,2,7,4,6,5,,12,2,2,4,6,4,2,1,5,2,3,1,15,9,8,6,7,8,6,3,6,1
20251204,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,11,O3,60,63,57,,60,62,53,53,52,60,53,55,,61,30,63,57,58,58,63,64,63,61,57,59,49,56,50,57,60,52,56,58,59,56
20251204,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,11,CO,0.3,0.2,0.3,,0.3,0.4,0.4,0.5,0.3,0.1,0.2,0.1,0.4,0.8,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.4,0.7,0.1,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.1,0.3
20251204,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,12,SO2,3,1,1,1,4,3,2,3,3,3,2,2,,3,3,1,3,5,3,3,2,2,5,4,3,1,4,1,3,1,3,3,1,3,2
20251204,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,12,NO2,5,8,3,,7,2,7,2,6,3,4,5,,12,2,2,3,1,4,2,1,4,4,2,1,12,8,7,5,6,7,5,3,4,1
20251204,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,12,O3,59,62,56,,60,,53,53,52,60,,55,54,62,26,63,57,60,59,62,62,63,,57,58,49,56,50,57,59,54,56,59,59,57
20251204,12,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204,12,CO,0.3,0.2,0.3,,0.3,0.4,0.4,0.4,0.3,0.1,0.2,0.1,,0.8,0.2,0.3,0.2,0.3,0.2,0.2,0.4,0.4,,0.1,0.4,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.1,0.2
