date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251224,0,SO2,2,2,3,2,4,4,3,3,3,2,2,3,4,1,1,2,3,6,4,2,2,2,1,4,3,3,3,3,4,1,3,3,4,1,3
20251224,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,0,NO2,30,25,22,29,43,38,54,34,46,30,30,43,30,12,4,41,36,14,12,18,10,22,30,24,25,27,38,46,27,51,53,39,40,60,23
20251224,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,0,O3,31,25,40,36,29,22,9,15,16,31,27,11,28,43,51,9,6,42,43,42,53,24,15,31,35,32,26,19,35,16,3,14,6,10,30
20251224,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,0,CO,0.4,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.5,0.3,0.3,0.4,0.4,0.9,0.1,0.6,0.5,0.3,0.3,0.3,0.3,0.5,0.6,0.2,0.2,0.3,0.4,0.3,0.5,0.3,0.3,0.1,0.4,0.3,0.3
20251224,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,1,SO2,2,2,3,2,3,4,3,3,3,2,1,3,4,1,1,1,3,5,3,2,2,2,3,3,3,3,3,3,4,1,3,3,4,1,3
20251224,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,1,NO2,31,28,32,32,62,54,62,30,39,36,29,38,17,13,4,41,39,8,8,18,9,14,19,31,32,32,37,69,46,65,62,26,38,71,23
