date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251213,0,SO2,3,3,2,1,3,2,3,3,3,4,3,3,5,3,3,1,3,6,3,1,2,3,1,5,1,3,4,3,4,3,1,3,2,3,2
20251213,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,0,NO2,46,49,45,48,45,34,45,37,44,39,41,34,37,22,21,34,36,25,25,22,23,14,17,23,26,38,39,48,50,51,42,31,35,46,45
20251213,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,0,O3,3,4,1,1,10,6,4,7,6,6,6,6,8,13,15,12,15,23,18,23,19,27,28,21,17,9,9,2,1,2,6,11,7,2,2
20251213,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,0,CO,1.1,1,0.9,1.1,1,1.2,0.9,0.8,0.8,0.8,0.3,0.7,0.9,1.2,0.6,0.7,0.7,0.9,0.8,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.6,0.9,0.9,0.8,0.6,0.5,0.8,0.7,0.7
20251213,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,1,SO2,3,1,2,1,3,3,2,3,3,4,3,3,5,3,3,1,3,5,3,1,2,3,1,5,1,3,4,3,4,3,1,3,1,3,2
20251213,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,1,NO2,48,50,43,47,47,39,45,40,45,41,44,33,41,22,22,35,35,36,29,24,24,14,16,27,25,37,36,43,50,50,40,30,36,47,46
20251213,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,1,O3,2,3,3,2,7,3,4,4,4,4,4,6,4,12,12,10,14,11,14,19,20,25,29,16,16,9,10,2,2,2,5,9,4,1,2
20251213,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,1,CO,1.1,1,0.8,1,1,1.3,0.9,0.8,0.8,0.7,0.4,0.7,0.9,1.2,0.6,0.7,0.7,1,0.8,0.8,0.8,0.9,0.6,0.8,0.8,0.8,0.7,0.7,0.9,0.8,0.6,0.5,0.8,0.7,0.7
20251213,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,2,SO2,3,1,2,1,3,2,2,1,3,4,1,3,5,3,3,1,3,6,3,1,3,3,1,5,3,3,4,1,4,3,3,3,2,3,2
20251213,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,2,NO2,46,51,44,44,52,40,44,42,47,43,43,34,41,23,20,33,33,34,37,23,22,14,16,27,23,34,37,47,49,48,44,34,34,47,45
20251213,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,2,O3,3,3,2,4,2,3,4,2,2,2,3,3,2,4,9,10,13,13,6,19,23,23,27,14,19,11,9,2,2,2,1,5,6,1,2
20251213,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,2,CO,1,1,0.8,0.9,1,1.3,0.9,0.8,0.8,0.7,0.3,0.7,0.9,1.2,0.6,0.7,0.7,1,0.9,0.8,0.8,0.8,0.6,0.8,0.7,0.7,0.7,0.7,0.9,0.8,0.6,0.6,0.8,0.6,0.7
20251213,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,3,SO2,3,1,2,1,3,2,2,1,2,4,1,3,5,3,3,1,3,6,3,2,2,3,3,5,3,3,4,1,4,3,2,3,2,3,2
20251213,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,3,NO2,45,47,45,45,50,42,46,42,48,44,45,40,41,25,24,37,34,34,29,27,21,14,19,21,21,39,47,49,47,49,41,38,35,49,44
20251213,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,3,O3,2,3,1,2,2,3,2,1,1,1,2,2,3,5,9,7,12,13,14,16,23,21,21,18,19,10,4,2,2,2,3,2,4,2,2
20251213,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,3,CO,1,0.9,0.8,0.9,1,1.3,0.8,0.8,0.8,0.7,0.3,0.6,1,1.2,0.6,0.7,0.7,1,0.9,0.8,0.8,0.9,0.7,0.8,0.7,0.7,0.7,0.7,0.9,0.7,0.5,0.6,0.8,0.7,0.7
20251213,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,4,SO2,3,1,2,1,3,3,2,3,3,4,3,3,4,1,1,1,3,6,3,2,2,2,3,5,3,3,4,1,4,3,2,3,2,3,2
20251213,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251213,4,NO2,44,43,46,47,50,41,45,41,47,43,44,40,39,27,21,37,36,33,32,27,20,13,21,21,26,43,49,48,47,49,42,37,36,49,45
20251213,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
