date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251205,0,SO2,4,1,3,2,4,3,3,3,3,1,1,2,5,3,3,1,3,5,3,3,2,3,3,4,3,1,4,1,4,1,1,3,1,3,3
20251205,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,0,NO2,32,37,50,48,42,31,43,36,59,56,55,52,9,18,1,29,28,40,33,42,25,19,17,53,46,61,35,41,43,43,50,42,29,63,11
20251205,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,0,O3,25,19,12,17,22,25,15,6,1,2,3,2,39,30,29,10,3,9,16,6,19,27,20,1,5,5,23,12,7,15,10,5,13,1,34
20251205,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,0,CO,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.2,0.3,0.1,0.4,0.9,0.2,0.7,0.8,0.5,0.4,,0.6,0.6,0.4,0.5,0.6,0.3,0.1,0.2,0.3,0.3,0.3,0.2,0.5,0.3,0.4
20251205,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,1,SO2,4,1,3,2,5,4,3,3,3,1,1,2,5,3,3,1,3,5,3,3,3,2,3,4,3,1,4,1,3,1,2,3,1,3,212
20251205,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,1,NO2,33,49,48,51,38,33,46,35,56,58,50,52,21,18,2,19,30,22,18,41,23,23,15,52,48,60,44,46,46,45,57,28,27,64,14
20251205,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,1,O3,23,12,13,12,25,23,12,7,2,1,3,2,25,26,26,21,4,22,25,2,22,18,21,1,1,3,14,6,4,11,5,15,17,2,28
20251205,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,1,CO,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.2,0.3,0.2,0.5,0.9,0.2,0.5,0.6,0.4,0.3,0.4,0.5,0.7,0.4,0.5,0.6,0.3,0.1,0.2,0.4,0.3,0.3,0.2,0.5,0.3,0.4
20251205,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,2,SO2,4,1,2,2,4,4,2,3,3,1,1,3,5,3,3,1,3,5,3,3,3,2,3,4,3,3,4,3,3,2,1,3,1,2,29
20251205,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,2,NO2,36,48,51,50,40,31,56,33,58,57,46,47,16,17,3,18,29,8,9,41,41,18,15,47,46,65,52,48,43,54,62,20,20,62,13
20251205,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,2,O3,19,9,10,11,23,25,3,3,2,1,3,2,28,27,23,21,5,33,34,2,4,22,18,2,2,1,7,5,1,3,1,24,22,2,28
20251205,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,2,CO,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.5,0.5,0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.5,0.4,0.3,0.4,0.5,0.6,0.3,0.4,0.6,0.3,0.1,0.2,0.4,0.3,0.3,0.2,0.5,0.3,0.4
20251205,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,3,SO2,4,1,3,2,4,4,3,3,3,1,1,3,5,3,3,1,3,5,3,1,2,3,3,4,3,4,4,3,4,1,1,3,1,2,2
20251205,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,3,NO2,40,51,56,58,51,35,57,38,62,53,45,45,17,18,2,18,29,6,7,42,36,17,15,51,46,66,61,55,47,57,62,24,21,60,15
20251205,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,3,O3,15,6,6,3,12,19,1,2,2,1,3,2,30,13,24,20,3,35,35,1,3,26,17,1,2,1,1,2,1,1,1,22,21,2,25
20251205,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,3,CO,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.5,0.5,0.1,0.2,0.2,0.4,0.8,0.2,0.4,0.4,0.4,0.3,0.3,0.5,0.5,0.4,0.5,0.7,0.3,0.1,0.3,0.4,0.4,0.4,0.2,0.5,0.3,0.4
20251205,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,4,SO2,4,1,3,2,5,4,2,1,3,1,3,3,5,3,3,1,3,4,3,3,2,2,3,5,3,4,5,3,4,2,1,3,1,2,2
20251205,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,4,NO2,46,51,58,60,69,41,48,36,54,51,44,46,22,20,3,21,30,11,8,36,30,17,14,50,46,65,62,56,49,60,59,32,31,63,14
20251205,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,4,O3,9,3,3,2,2,14,1,2,2,1,2,2,24,,19,11,1,30,30,5,7,25,13,1,2,2,1,2,1,1,2,12,5,1,24
20251205,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,4,CO,0.4,0.4,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.1,0.2,0.2,0.4,0.8,0.2,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.4,0.5,0.7,0.4,0.1,0.3,0.4,0.4,0.4,0.2,0.5,0.4,0.4
20251205,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,5,SO2,4,1,3,3,4,4,2,1,3,1,3,3,5,3,3,1,3,4,3,1,2,2,3,4,3,4,5,3,4,2,1,3,1,2,2
20251205,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,5,NO2,50,55,60,63,67,47,47,37,49,48,44,47,38,23,2,25,26,8,9,39,20,16,13,47,44,63,60,51,49,56,46,30,20,54,18
20251205,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,5,O3,7,3,2,2,2,7,1,2,2,2,2,2,8,6,20,9,4,32,30,2,11,24,18,1,2,1,1,4,1,2,8,13,20,1,20
20251205,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,5,CO,0.6,0.4,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.1,0.2,0.3,0.6,0.8,0.2,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.3,0.4,0.6,0.4,0.1,0.3,0.4,0.4,0.4,0.2,0.5,0.4,0.4
20251205,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,6,SO2,5,1,3,3,4,4,2,1,3,1,1,3,5,3,3,1,3,5,3,1,3,2,3,4,3,5,4,3,4,2,1,3,1,2,2
20251205,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,6,NO2,61,54,62,61,62,60,47,37,48,35,53,53,23,25,2,31,26,10,9,40,27,14,14,46,42,63,62,57,52,56,39,30,26,56,28
20251205,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,6,O3,2,3,2,2,1,2,1,2,2,12,3,2,19,7,22,3,1,28,31,2,13,30,16,2,2,1,1,1,1,1,17,13,12,2,12
20251205,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251205,6,CO,1,0.4,0.6,0.5,0.7,0.8,0.6,0.5,0.5,0.2,0.4,0.5,0.5,0.9,0.2,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.3,0.4,0.6,0.4,0.2,0.4,0.5,0.4,0.3,0.2,0.5,0.5,0.5
20251205,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
