date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251127,0,SO2,2,1,3,2,3,3,3,1,2,2,3,1,5,3,3,3,3,5,2,1,3,3,5,4,1,3,4,1,3,2,1,3,1,3,4
20251127,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,0,NO2,4,7,3,8,8,2,5,2,8,2,8,4,8,7,2,2,3,3,2,19,9,27,28,1,3,17,9,4,6,2,6,5,3,5,4
20251127,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,0,O3,58,58,58,59,58,58,53,52,48,62,46,54,53,59,20,64,59,60,62,38,52,29,25,56,56,38,51,53,56,58,50,57,59,57,62
20251127,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,0,CO,0.6,0.2,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.1,0.3,0.7,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.5,0.6,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2
20251127,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,1,SO2,2,1,3,1,3,3,3,3,2,2,3,1,5,3,3,3,3,5,2,2,3,3,4,3,3,1,5,3,3,2,3,3,1,3,3
20251127,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,1,NO2,3,5,3,6,10,3,5,2,6,2,10,4,5,5,1,2,2,2,1,4,4,8,8,1,3,13,11,5,6,2,6,5,2,5,3
20251127,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,1,O3,59,60,57,62,56,58,53,52,53,61,46,54,56,62,27,61,55,61,63,59,58,52,47,57,52,43,50,48,57,58,51,56,59,55,60
20251127,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,1,CO,0.6,0.2,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.1,0.3,0.7,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.6,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.2,0.2
20251127,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,2,SO2,2,1,2,1,3,3,3,3,2,2,3,1,5,3,3,1,3,5,2,2,2,3,4,3,3,3,4,1,5,1,1,3,1,1,3
20251127,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,2,NO2,7,6,4,5,12,5,6,3,6,2,4,5,11,6,1,3,4,1,1,3,4,4,5,2,2,9,3,7,5,3,9,7,3,4,3
20251127,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,2,O3,55,58,54,61,53,54,51,49,51,58,49,51,48,60,24,57,50,60,63,58,57,63,51,58,53,47,60,43,57,54,48,52,56,54,61
20251127,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,2,CO,0.6,0.2,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.1,0.3,3.5,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.3,0.6,0.2,0.1,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.2,0.2
20251127,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,3,SO2,2,1,3,1,3,3,3,3,2,2,3,1,5,3,3,1,3,5,2,1,2,3,4,3,3,3,4,1,3,3,1,3,1,1,3
20251127,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,3,NO2,7,8,4,6,11,5,8,3,6,4,4,5,15,10,1,3,6,1,2,4,4,3,3,2,2,7,2,5,6,5,12,5,1,8,2
20251127,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,3,O3,53,54,51,58,53,53,48,49,51,56,50,50,43,53,29,57,48,61,63,56,56,63,54,57,54,49,60,46,55,52,43,55,58,50,62
20251127,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,3,CO,0.6,0.2,0.2,0.4,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.1,0.2,0.8,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.3,0.6,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.2
20251127,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,4,SO2,2,1,3,1,3,3,3,3,2,2,3,1,5,3,3,1,3,5,2,1,2,2,4,3,3,3,4,1,3,1,1,3,2,1,3
20251127,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,4,NO2,6,5,2,4,10,4,4,2,5,1,6,3,9,9,1,2,1,2,2,3,3,3,2,2,2,7,2,5,4,4,7,4,2,6,2
20251127,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,4,O3,54,57,54,60,53,54,53,50,53,62,47,53,45,,23,56,50,61,62,56,55,63,54,57,50,45,58,41,57,52,49,59,57,57,63
20251127,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,4,CO,0.6,0.2,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.7,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.3,0.6,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.2
20251127,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,5,SO2,2,1,3,2,3,3,3,3,2,2,3,1,5,3,3,3,2,5,2,1,2,3,4,3,3,3,5,1,3,3,1,1,2,1,3
20251127,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,5,NO2,6,4,2,4,10,3,3,2,4,1,2,2,11,9,2,1,2,2,2,4,3,2,2,2,1,11,9,3,4,5,10,4,2,8,2
20251127,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,5,O3,55,59,58,62,54,55,54,52,52,63,53,57,47,55,32,61,55,60,61,55,56,62,54,56,54,45,49,50,57,56,46,59,60,59,62
20251127,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251127,5,CO,0.6,0.2,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.7,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.3,0.6,0.2,0.2,0.4,0.1,0.1,0.1,0.2,0.3,0.4,0.1,0.2
20251127,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
