date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251220,0,SO2,3,1,3,2,3,4,3,1,3,3,1,1,3,4,1,2,3,5,2,2,2,1,3,2,3,3,3,3,4,3,3,1,4,3,3
20251220,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,0,NO2,14,14,9,7,19,10,12,7,13,1,9,6,9,9,3,20,13,10,6,14,8,7,2,4,8,24,21,10,10,17,17,8,8,11,7
20251220,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,0,O3,57,57,60,67,56,59,55,57,55,64,57,61,63,69,67,48,47,66,68,58,64,60,61,61,64,43,45,60,64,57,50,58,61,63,62
20251220,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,0,CO,0.3,0.2,0.4,0.3,0.5,0.3,0.1,0.2,0.3,0.2,0.3,0.3,0.2,0.8,0.1,0.5,0.4,0.4,0.2,0.3,0.3,0.1,0.2,0.3,0.4,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2
20251220,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,1,SO2,3,1,2,2,3,3,2,1,3,3,2,1,3,3,3,2,3,5,3,2,2,3,3,2,3,3,3,3,4,3,3,1,4,3,3
20251220,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,1,NO2,12,11,13,14,22,9,18,18,12,1,8,7,9,9,3,17,9,10,6,11,7,6,2,5,7,20,17,10,13,20,23,8,8,11,8
20251220,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,1,O3,56,59,54,56,52,60,48,43,55,63,60,60,63,71,69,49,53,67,69,62,63,58,61,61,64,50,47,61,59,53,43,57,60,63,60
20251220,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,1,CO,0.3,0.2,0.4,0.3,0.5,0.3,0.1,0.2,0.3,0.2,0.3,0.3,0.2,0.8,0.1,0.5,0.4,0.4,0.2,0.3,0.3,0.1,0.2,0.3,0.4,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2
20251220,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,2,SO2,3,1,2,1,3,3,2,3,3,3,2,1,3,1,1,2,3,5,3,2,2,1,3,2,3,3,3,1,4,3,3,1,4,3,3
20251220,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,2,NO2,13,10,18,13,29,9,20,11,14,2,9,5,12,8,3,14,10,9,6,8,7,6,1,4,6,17,10,10,12,23,20,20,9,10,7
20251220,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251220,2,O3,56,60,49,56,46,62,44,50,48,65,56,61,60,69,67,50,47,67,68,64,64,51,60,62,69,52,54,61,60,48,46,43,58,64,61
20251220,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
