date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251123,0,SO2,6,1,5,4,7,4,4,6,5,4,1,2,6,3,3,4,3,5,5,3,3,4,5,7,3,3,7,3,3,2,2,1,1,1,5
20251123,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,0,NO2,87,66,86,98,93,83,71,49,73,57,65,70,44,42,13,32,37,40,26,54,58,42,38,74,67,98,87,82,69,97,92,44,52,76,32
20251123,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,0,O3,5,2,2,2,2,3,1,2,1,14,2,2,18,8,13,16,4,16,25,1,2,13,3,2,2,2,1,2,1,1,2,9,3,2,25
20251123,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,0,CO,1.8,1.4,0.7,1.2,1.2,1.2,0.9,0.6,1,0.6,0.8,0.6,0.5,1,0.3,0.7,0.8,0.6,0.5,0.7,0.7,0.8,0.9,0.7,1.4,1.1,0.8,1,0.9,1.1,1.1,0.4,0.5,0.8,0.5
20251123,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,1,SO2,5,1,5,4,7,4,4,6,5,4,3,2,6,3,3,4,3,5,5,3,3,3,5,7,3,2,8,3,3,2,1,3,1,1,4
20251123,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,1,NO2,83,71,84,90,90,78,71,46,71,50,61,67,52,35,11,30,31,32,24,49,51,41,37,71,59,91,99,74,67,92,84,39,50,80,30
20251123,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,1,O3,3,2,2,2,1,3,1,2,1,17,1,2,8,11,13,17,8,22,23,1,3,11,5,1,2,2,1,3,1,1,2,12,4,1,24
20251123,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,1,CO,1.5,1.4,0.7,1.2,1,1.3,0.8,0.6,1,0.5,0.7,0.6,0.6,1,0.3,0.7,0.7,0.6,0.5,0.7,0.6,0.8,0.7,0.7,1.3,1.1,0.9,0.9,0.9,1.2,1.1,0.3,0.5,0.7,0.4
20251123,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,2,SO2,6,1,5,4,7,4,4,7,5,4,1,2,7,3,3,4,3,5,5,3,3,3,5,6,1,3,8,1,3,3,3,1,1,1,4
20251123,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,2,NO2,83,69,84,86,85,78,69,47,75,53,66,61,27,33,11,35,31,27,22,47,48,43,34,65,62,81,83,73,70,102,74,30,45,75,28
20251123,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,2,O3,2,2,2,1,1,3,1,2,1,13,1,2,28,11,12,8,3,25,26,1,2,6,2,2,1,1,1,2,1,1,2,20,5,1,24
20251123,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,2,CO,1.1,1.1,0.6,1,0.9,1.3,0.8,0.6,0.9,0.5,0.8,0.5,0.4,0.9,0.2,0.7,0.6,0.5,0.5,0.6,0.6,0.8,0.7,0.7,1.2,0.9,0.8,0.8,0.9,1.1,1.1,0.3,0.5,0.5,0.4
20251123,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,3,SO2,7,2,6,5,7,5,5,7,5,3,1,2,7,3,3,4,3,5,5,3,3,3,5,7,1,3,8,2,4,4,1,1,2,1,4
20251123,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,3,NO2,75,70,80,80,83,76,65,52,73,55,67,63,48,28,9,28,29,31,28,51,48,41,35,64,59,84,75,81,74,101,72,33,50,77,25
20251123,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,3,O3,1,1,1,1,1,3,1,2,1,8,2,2,15,15,19,13,5,21,17,2,1,7,4,2,1,2,2,2,1,1,2,20,6,1,26
20251123,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,3,CO,0.8,0.9,0.4,0.7,1,1.1,0.7,0.6,0.8,0.5,0.7,0.7,0.4,0.9,0.3,0.6,0.6,0.5,0.5,0.5,0.6,0.8,0.7,0.6,1.1,0.9,0.7,0.9,1,1.1,1,0.3,0.4,0.5,0.4
20251123,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,4,SO2,7,1,6,6,7,5,5,7,5,4,1,2,7,3,2,4,3,6,5,3,3,3,6,7,1,3,8,2,6,4,1,1,2,1,4
20251123,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,4,NO2,73,59,62,79,81,72,66,53,70,66,67,62,33,22,7,27,26,50,23,48,38,40,32,60,54,88,79,85,88,96,69,31,51,82,26
20251123,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,4,O3,1,1,1,1,1,2,1,1,1,2,1,2,33,37,21,9,2,8,20,2,7,9,13,2,3,1,2,1,2,1,2,24,6,1,26
20251123,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,4,CO,0.8,0.8,0.6,0.7,0.8,1,0.6,0.6,0.7,0.7,0.6,0.6,0.4,0.9,0.2,0.6,0.6,0.6,0.5,0.5,0.5,0.8,0.6,0.6,1.1,0.9,0.7,1,1,1,1,0.3,0.4,0.7,0.4
20251123,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,5,SO2,6,2,6,5,7,5,5,7,5,4,1,2,7,3,1,4,3,5,5,3,3,3,5,6,1,3,8,2,5,3,2,1,2,2,5
20251123,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,5,NO2,67,68,53,78,79,67,68,52,66,66,65,65,30,29,9,22,24,54,33,48,49,40,29,59,52,74,78,89,71,80,76,39,45,84,29
20251123,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,5,O3,4,2,8,1,1,1,1,2,1,2,2,2,35,18,24,14,5,4,11,2,2,8,9,2,1,1,2,1,1,2,2,17,11,1,26
20251123,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,5,CO,0.8,0.8,0.5,0.7,0.7,0.8,0.6,0.6,0.6,0.7,0.6,0.6,0.4,0.9,0.2,0.6,0.6,0.6,0.5,0.5,0.5,0.8,0.6,0.6,1.1,0.8,0.7,1,0.9,0.8,1,0.3,0.4,0.7,0.4
20251123,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251123,6,SO2,6,2,6,4,7,5,5,7,5,4,1,2,7,3,1,4,2,5,5,3,3,3,5,6,3,2,7,2,5,2,2,1,2,1,4
20251123,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
