date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251124,0,SO2,6,1,5,4,7,4,4,7,5,4,1,2,6,3,3,3,3,5,5,2,3,4,5,6,3,2,7,1,3,1,2,3,2,1,4
20251124,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,0,NO2,86,70,96,102,101,82,80,55,78,55,49,70,52,25,7,35,38,21,17,50,14,35,36,73,68,96,98,86,70,95,82,41,36,78,31
20251124,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,0,O3,5,2,2,2,1,3,1,1,1,17,16,2,15,24,18,13,4,37,31,2,43,24,14,1,1,1,1,1,2,1,4,16,26,1,28
20251124,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,0,CO,1.6,1.1,1,1.1,1.1,1.1,1.3,0.8,0.9,0.5,0.5,0.5,0.5,0.9,0.3,0.7,0.8,0.6,0.5,0.5,0.4,0.8,0.8,0.8,1.3,1,0.7,0.9,0.7,0.8,1,0.5,0.4,0.5,0.4
20251124,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,1,SO2,6,2,5,4,6,4,4,7,4,4,1,2,6,3,3,3,3,5,5,2,3,3,5,6,3,1,6,1,3,1,2,3,2,1,4
20251124,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,1,NO2,91,68,91,101,100,86,74,50,74,42,60,68,22,32,6,35,36,18,14,52,12,32,31,59,58,88,101,80,66,90,75,42,38,80,30
20251124,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,1,O3,3,2,2,2,1,3,1,2,1,27,7,2,39,19,22,12,3,38,33,1,41,23,11,8,4,1,2,1,2,1,5,10,19,1,27
20251124,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,1,CO,1.4,1.2,0.8,1.2,1.1,1.1,0.9,0.7,0.8,0.5,0.5,0.5,0.4,0.9,0.3,0.7,0.7,0.5,0.5,0.6,0.4,0.8,0.8,0.6,1.2,0.9,0.8,0.8,0.7,0.9,1.2,0.5,0.4,0.5,0.5
20251124,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,2,SO2,5,1,5,3,7,4,5,7,4,4,3,1,6,2,3,3,3,5,4,3,3,3,5,6,3,2,7,1,4,1,1,1,2,2,4
20251124,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,2,NO2,89,65,88,96,99,83,71,51,69,30,60,68,39,30,5,30,27,15,12,49,51,32,33,64,52,86,94,77,83,85,74,37,46,82,26
20251124,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,2,O3,3,2,2,2,1,2,1,2,2,34,1,2,21,18,23,13,7,36,31,5,8,18,14,2,7,1,1,1,1,1,4,10,11,1,30
20251124,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,2,CO,1.5,1.3,0.8,1.2,1.2,1.2,0.8,0.7,0.8,0.4,0.5,0.6,0.4,0.9,0.3,0.7,0.7,0.5,0.5,0.5,0.4,0.8,0.7,0.6,1.1,0.8,0.8,0.8,0.9,1,1.1,0.5,0.4,0.6,0.4
20251124,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,3,SO2,6,2,5,3,7,5,4,7,4,4,1,3,6,2,3,3,3,5,5,2,3,3,4,5,3,2,7,1,4,2,2,1,2,1,4
20251124,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,3,NO2,83,63,85,89,94,90,67,45,76,44,61,76,49,28,6,31,21,18,10,50,18,28,28,61,55,85,88,75,80,91,74,26,38,78,25
20251124,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251124,3,O3,2,2,1,1,1,2,2,2,2,20,4,2,11,18,20,11,12,34,37,1,34,21,5,1,4,1,2,1,1,1,3,26,19,1,30
