date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251219,0,SO2,4,1,3,2,3,4,3,1,3,5,3,1,5,3,1,1,3,6,3,3,2,1,1,3,1,1,4,1,4,3,1,1,4,1,2
20251219,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,0,NO2,78,72,67,75,76,61,66,60,66,59,60,63,61,34,31,33,35,54,40,63,46,27,34,60,58,65,34,64,35,68,66,43,51,68,40
20251219,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,0,O3,3,2,2,2,1,3,1,6,1,1,3,2,2,5,11,38,34,8,14,2,,35,24,2,1,3,32,4,24,4,2,14,3,2,25
20251219,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,0,CO,1.3,1.3,1.3,1.3,1.5,1.3,1,1.2,1.2,1.3,1.2,0.9,1.1,1.6,0.9,1.2,1.1,1.3,1.2,1.3,1.2,1,1.1,1.3,1.2,1.2,1.1,1.2,1.2,1.1,1.2,1.1,1.2,1.2,1.1
20251219,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,1,SO2,4,1,2,2,3,4,3,1,3,5,3,1,5,215,1,2,3,6,3,3,3,1,1,3,1,1,3,1,3,3,1,1,4,1,2
20251219,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251219,1,NO2,77,69,66,73,74,60,64,53,66,62,60,59,59,37,34,34,40,43,38,62,44,28,32,58,59,67,29,45,42,70,63,36,45,71,53
20251219,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
